ID;Antig;Idade;Grau_Acad;Rendimento;Filhos;NumCompras;Dias_UltCompra;Vendas;Choc_PretoSim;Choc_PretoRec;Choc_BrancoSim;Choc_BrancoRec;Choc_Ruby;Ovo_Pascoa
1001;789;68;Licenciatura;90 782 €;1;29;66;1402;37;5;44;10;3;1
1002;623;78;Doutoramento;113 023 €;1;31;6;1537;55;1;38;4;2;0
1003;583;24;Mestrado;28 344 €;0;4;69;44;32;19;24;1;24;1
1004;893;59;Mestrado;93 571 €;1;21;10;888;60;10;19;6;5;0
1005;1062;59;Mestrado;91 852 €;1;25;26;1138;59;5;28;4;4;1
1006;792;32;Doutoramento;22 386 €;0;5;65;56;47;2;48;2;1;1
1007;1120;45;Mestrado;69 485 €;0;11;73;345;71;7;13;1;8;0
1008;658;54;Mestrado;68 602 €;1;2;44;41;84;1;12;2;0;0
1009;792;74;Mestrado;109 499 €;1;29;75;1401;38;9;35;9;9;1
1010;1109;20;Secundario;23 846 €;0;1;153;19;18;55;17;10;1;0
1011;664;65;Mestrado;97 492 €;1;19;93;774;37;16;33;9;5;0
1012;818;57;Licenciatura;75 436 €;1;14;32;491;60;4;33;2;1;0
1013;657;60;Licenciatura;95 586 €;1;29;54;1407;27;3;39;20;11;1
1014;619;35;Mestrado;57 997 €;0;5;28;81;77;0;21;1;0;0
1015;1133;32;Doutoramento;50 289 €;0;1;231;20;46;0;33;16;5;0
1016;655;23;Mestrado;37 029 €;0;2;30;32;16;22;46;0;16;0
1017;624;22;Licenciatura;20 043 €;1;2;37;16;6;28;35;28;3;0
1018;940;76;Licenciatura;112 765 €;1;39;72;2039;19;1;35;14;31;0
1019;788;24;Mestrado;26 141 €;1;2;52;36;19;17;28;23;12;0
1020;589;26;Licenciatura;40 944 €;0;4;67;52;30;12;46;9;3;0
1021;778;67;Secundario;89 755 €;1;12;44;394;12;4;14;34;36;0
1022;1108;19;Secundario;43 392 €;1;5;4;118;5;29;16;12;38;0
1023;683;32;Mestrado;50 518 €;0;4;42;52;22;11;51;9;7;0
1024;1178;33;Mestrado;41 238 €;0;10;59;304;67;4;23;3;4;1
1025;680;68;Licenciatura;104 758 €;1;32;14;1595;35;5;39;10;11;1
1026;824;56;Licenciatura;90 390 €;1;22;52;959;39;10;42;3;6;0
1027;1048;43;Mestrado;59 583 €;0;3;99;65;70;1;26;0;3;0
1028;558;36;Licenciatura;53 489 €;1;2;12;32;65;4;19;5;7;1
1029;697;38;Licenciatura;33 634 €;0;4;17;41;63;3;18;9;7;0
1030;614;53;Licenciatura;90 708 €;1;19;61;767;76;3;15;4;3;0
1031;838;28;Mestrado;30 957 €;0;1;156;19;77;2;17;0;4;0
1032;652;37;Licenciatura;52 474 €;0;1;421;19;82;2;15;1;1;1
1033;903;74;Licenciatura;119 982 €;1;36;52;1852;20;3;48;15;14;1
1034;657;32;Licenciatura;54 327 €;0;4;21;47;20;14;39;16;11;0
1035;950;41;Mestrado;66 220 €;0;9;70;257;77;0;21;1;1;1
1036;854;41;Mestrado;65 852 €;0;3;55;63;64;1;31;2;2;0
1037;1127;47;Licenciatura;69 713 €;1;28;64;1340;81;1;8;4;5;0
1038;554;59;Doutoramento;87 449 €;1;13;87;445;53;2;37;4;3;0
1039;1226;38;Secundario;47 584 €;0;7;94;180;41;2;50;5;1;0
1040;661;78;Secundario;109 767 €;1;39;30;2040;46;7;37;6;4;1
1041;875;18;Secundario;36 143 €;0;6;65;150;6;28;27;17;22;0
